step,t,phase,phaseIndex,yTop,compression,volume,volumeRatio,rhoMean,rhoRatio,Pkin,Pwall,PexcessWallKinetic,PprojectionWorkRaw,PprojectionWorkThermostatted,wallImpulseTopY,wallHitsTop,dVInterval,dVdtMean,projectionEnergyRaw,projectionEnergyThermostatted,kBTCell,stdN,lowKProxy,rmsDivParticleAfter,rmsMassFluxResidual,rmsMassFluxParticleAfter,meanVy,PkinSmooth,PwallSmooth,PexcessWallKineticSmooth,PprojectionWorkRawSmooth,PprojectionWorkThermostattedSmooth
1100,1.1,compression,1,0.99725,0.00275000000000003,1.9945,0.99725,5134.11882677363,1.00275758335422,5404.82053799981,5408.08163318228,3.26109518246813,-1511.80528391,22.2068781742976,1081.61632663646,496,-0.000500000000000167,-0.00500000000000167,-0.755902641955255,0.0111034390871525,1.04589725943001,3.42089813226164,0.00016412057031492,0.0209832660419832,0.00795589370246551,0.387964249921444,-0.0219098383797698,5404.82865399924,4919.83891235086,-484.989741648383,-1556.65271536351,12.137214103175
1200,1.2,compression,1,0.997,0.003,1.994,0.997,5135.40621865597,1.00300902708124,5406.2261000965,3918.65624974028,-1487.56985035622,-1542.41442949102,-0.906384575222951,783.731249948058,331,-0.000499999999999945,-0.00499999999999945,-0.771207214745425,-0.000453192287611426,1.03933213727027,3.62260785501728,0.000273758129617669,0.0283466926861967,0.00502852049780924,0.528263514429818,-0.00921214993355491,5406.19406656373,4950.31711457286,-455.876951990861,-1552.54892661049,9.45964097675507
1300,1.3,compression,1,0.99675,0.00324999999999998,1.9935,0.99675,5136.69425633308,1.00326059694006,5407.56652319836,3612.79970660635,-1794.76681659201,-1546.23756103305,11.5987660749405,722.559941321271,329,-0.000499999999999945,-0.00499999999999945,-0.773118780516439,0.00579938303746963,1.03730249908044,3.5162468872665,0.000261304703407026,0.0163345983455915,0.00632618268364918,0.359422621439976,0.0153330831406612,5407.55788697387,4948.31171407447,-459.246172899407,-1553.97890227915,9.74220171412446
1400,1.4,compression,1,0.9965,0.00350000000000006,1.993,0.9965,5137.98294029102,1.00351229302559,5408.89860579146,4483.49579304078,-925.402812750685,-1595.61723912614,8.65857163969985,896.699158608156,387,-0.000500000000000167,-0.00500000000000167,-0.797808619563335,0.00432928581985137,1.04291312513683,3.47538168932523,0.000260979612229797,0.0180121163324211,0.000723073582435097,0.393917625724979,-0.005835471717745,5408.91994584232,4937.35772677494,-471.562219067374,-1552.7803955673,9.42768695735854
1500,1.5,compression,1,0.99625,0.00375000000000003,1.9925,0.99625,5139.27227101631,1.00376411543287,5410.26148465019,4419.66620801666,-990.59527663353,-1553.8947055749,5.91134943988679,883.933241603333,372,-0.000499999999999945,-0.00499999999999945,-0.776947352787366,0.00295567471994307,1.03543378770948,3.48157015211103,0.000218835379310623,0.0229816234243615,0.000487571354928265,0.261221201184049,0.0151173076183021,5410.27733245699,4910.67306151825,-499.604270938739,-1553.07922946076,9.42296750622246
1600,1.6,compression,1,0.996,0.004,1.992,0.996,5140.56224899598,1.00401606425703,5411.61293817369,5311.68444186776,-99.9284963059263,-1597.03026747101,14.0308528060709,1062.33688837355,465,-0.000499999999999945,-0.00499999999999945,-0.798515133735417,0.00701542640303465,1.03968749143181,3.47594473212995,0.000352507448693692,0.0254273571778891,0.000971140467694565,0.6598519867998,0.0119101087249393,5411.63841250051,4949.15182638818,-462.486586112331,-1556.58559026725,9.06198027288562
1700,1.7,compression,1,0.99575,0.00424999999999998,1.9915,0.99575,5141.85287471755,1.00426813959327,5412.94543253901,5917.0535373722,504.108104833183,-1598.72069143293,4.17378452431418,1183.41070747444,520,-0.000499999999999945,-0.00499999999999945,-0.799360345716375,0.00208689226215686,1.03817520536212,3.45221786959892,0.000253730052116663,0.0242313484931298,0.00482732226498352,0.385689227199501,-0.0117185149876307,5412.99995159749,4948.21984268607,-464.780108911412,-1556.92917534912,9.29699844712948
1800,1.8,compression,1,0.9955,0.00449999999999995,1.991,0.9955,5143.14414866901,1.00452034153692,5414.38573188218,5043.27092668222,-371.114805199961,-1546.27373999314,20.2682005031441,1008.65418533645,447,-0.000499999999999945,-0.00499999999999945,-0.773136869996483,0.0101341002515709,1.04026062151922,3.63824004247296,0.00016601404787639,0.0182782482812148,0.00155460396353141,0.304721785344987,-0.0014589232543442,5414.3606075941,5009.89370375987,-404.466903834239,-1558.59409192758,8.79028204092578
1900,1.9,compression,1,0.99525,0.00475000000000003,1.9905,0.99525,5144.43607133886,1.00477267018337,5415.66410759107,5268.77251882488,-146.891588766194,-1517.16150525428,8.01444149078277,1053.75450376498,445,-0.000500000000000167,-0.00500000000000167,-0.758580752627392,0.00400722074539273,1.04136465252095,3.35796509063185,0.00020928605673118,0.0289962922188562,0.000393395288656867,0.445709617659047,-0.0031005541240935,5415.72197721436,4959.02910624712,-456.692870967242,-1553.46405051061,9.38644494764368
2000,2,compression,1,0.995,0.005,1.99,0.995,5145.72864321608,1.00502512562814,5417.0327747118,4781.58206727117,-635.450707440631,-1584.34300330051,3.53582116364087,956.316413454235,407,-0.000499999999999945,-0.00499999999999945,-0.792171501650169,0.00176791058182024,1.03699132526122,3.45957928734133,0.000289022655260744,0.0253111535942003,0.000891563665611552,0.45852601235171,-0.00302143170144402,5417.0826592174,4975.0073577019,-442.075301515499,-1555.13390864805,10.0346968072138
2100,2.1,compression,1,0.99475,0.00524999999999998,1.9895,0.99475,5147.02186479015,1.00527770796683,5418.41214365293,5742.39149119758,323.979347544649,-1506.45582899133,7.54865227414519,1148.47829823952,498,-0.000499999999999945,-0.00499999999999945,-0.753227914495584,0.00377432613707218,1.03295960505709,3.43516977592556,0.000201148353130855,0.0220039562674847,0.0016242260145497,0.46240396687732,0.00467980735427363,5418.44302060549,4981.5857868669,-436.857233738593,-1556.41980112074,10.0534259088527
2200,2.2,compression,1,0.9945,0.00550000000000006,1.989,0.9945,5148.31573655103,1.00553041729512,5419.79702669162,5804.3263777278,384.529351036181,-1528.96946676201,17.7071062526374,1160.86527554556,508,-0.000500000000000167,-0.00500000000000167,-0.764484733381261,0.00885355312632163,1.03679137411112,3.49895147839191,0.000244945439054063,0.017012753757192,0.00541792790053014,0.340032900800354,-0.007779679324873,5419.80537121968,4980.86762143507,-438.937749784607,-1560.68179521961,9.50308176418426
2300,2.3,compression,1,0.99425,0.00575000000000003,1.9885,0.99425,5149.61025898919,1.00578325370883,5421.18600059862,5178.09897517216,-243.087025426462,-1570.39609538216,17.8456504826185,1035.61979503443,458,-0.000499999999999945,-0.00499999999999945,-0.785198047690995,0.00892282524130827,1.03698818762827,3.65273401076846,0.000180087347624625,0.0238869110347338,0.0034196716149242,0.452824578722159,-0.00177230969084119,5421.16920118668,4994.77944583344,-426.389755353237,-1556.96596327908,9.90905838415085
2400,2.4,compression,1,0.994,0.00600000000000001,1.988,0.994,5150.90543259557,1.00603621730382,5422.52092521806,4653.26187646842,-769.259048749644,-1573.94272212767,3.76922584064496,930.652375293684,418,-0.000499999999999945,-0.00499999999999945,-0.786971361063749,0.00188461292032227,1.03623472197524,3.51791612395547,0.000213282118822699,0.0185477787042001,0.00148524175335728,0.289796625309696,0.00727460633579504,5422.53272983728,5039.08649919391,-383.446230643372,-1554.31628536282,9.80732360932612
2500,2.5,compression,1,0.99375,0.00624999999999998,1.9875,0.99375,5152.20125786163,1.0062893081761,5423.8613245702,4778.2452523946,-645.616072175593,-1549.1397224991,8.31596639106683,955.649050478921,439,-0.000499999999999945,-0.00499999999999945,-0.774569861249464,0.00415798319553295,1.03471837349212,3.47650768374626,0.000225601517691664,0.0151637426259815,0.00510687091330363,0.311192437891302,0.0141109956359025,5423.8978968676,5012.90338346913,-410.994513398476,-1552.29942228936,9.58659035235164
2600,2.6,compression,1,0.9935,0.00649999999999995,1.987,0.9935,5153.49773527931,1.00654252642174,5425.30800429151,5692.88195823519,267.573953943674,-1579.98314951147,9.57547091315519,1138.57639164704,525,-0.000499999999999945,-0.00499999999999945,-0.789991574755648,0.00478773545657707,1.03935714541001,3.66183041073002,0.000299402322490709,0.0262578586872417,0.00389863567469539,0.620699237137551,-0.00536695711813615,5425.26318358949,5050.19387300637,-375.069310583121,-1548.71621099276,10.0155412238963
2700,2.7,compression,1,0.99325,0.00675000000000003,1.9865,0.99325,5154.79486534105,1.00679587213692,5426.65650354324,4849.10882056247,-577.547682980777,-1591.24556555635,8.82262277365847,969.821764112494,426,-0.000500000000000167,-0.00500000000000167,-0.795622782778442,0.00441131138683071,1.03957331118867,3.64146590985042,0.00024019635576629,0.0215069613996073,0.000444267696355949,0.277619743163496,2.17083171892708e-05,5426.62712200725,5000.89143275348,-425.735689253767,-1547.7176253444,9.66532385711236
2800,2.8,compression,1,0.993,0.00700000000000001,1.986,0.993,5156.09264853978,1.00704934541793,5427.99725453045,5240.37731384542,-187.619940685035,-1589.22558997967,8.56467066066507,1048.07546276908,436,-0.000499999999999945,-0.00499999999999945,-0.794612794989746,0.00428233533033207,1.03868940340253,3.65380535087385,0.000277526780602607,0.0303342182541955,0.00539658668402362,0.593826835745408,-0.0191337747838194,5427.99497181545,4975.2336097065,-452.761362108941,-1543.34174249484,9.40285349213984
2900,2.9,compression,1,0.99275,0.00724999999999998,1.9855,0.99275,5157.39108536892,1.00730294636112,5429.33779667264,4689.92473578132,-739.413060891322,-1482.61706168133,8.89158102542673,937.984947156264,405,-0.000499999999999945,-0.00499999999999945,-0.741308530840585,0.00444579051271288,1.0372965183027,3.49615388341484,0.00023927750868666,0.0330752898172552,0.00615323008054006,0.550132016830074,0.000187556867506411,5429.35882047264,4980.45335458944,-448.905465883199,-1543.47425175364,9.31736485811819
3000,3,compression,1,0.9925,0.00750000000000006,1.985,0.9925,5158.69017632242,1.00755667506297,5430.73522530385,5068.11898077987,-362.616244523986,-1545.15204480121,16.8620746675027,1013.62379615597,430,-0.000500000000000167,-0.00500000000000167,-0.772576022400864,0.00843103733375417,1.04158798009732,3.57913063819199,0.000418745642712168,0.0192628111815765,0.00161691100144874,0.39806843037617,0.00360534459718119,5430.72818189978,5002.5845985166,-428.143583383179,-1545.05704157177,9.0579126135142
3100,3.1,compression,1,0.99225,0.00775000000000003,1.9845,0.99225,5159.98992189468,1.00781053162006,5432.07699100809,4751.50265943545,-680.574331572632,-1574.19014965626,5.72664156283028,950.300531887092,427,-0.000499999999999945,-0.00499999999999945,-0.787095074828041,0.00286332078141482,1.03893625709843,3.47369201333718,0.000244323428711094,0.0229258728477058,0.00454318222590537,0.416493733638309,-0.0011265520094431,5432.099144231,4988.75996266001,-443.339181570988,-1543.42390236719,9.57209152027827
3200,3.2,compression,1,0.992,0.00800000000000001,1.984,0.992,5161.29032258064,1.00806451612903,5433.42990089773,5393.00015911391,-40.429741783827,-1601.30715998635,10.6496511362611,1078.60003182278,465,-0.000499999999999945,-0.00499999999999945,-0.800653579993089,0.00532482556812996,1.03788982651073,3.4283268014491,0.000230317045807932,0.0287024912448794,0.00504868399150095,0.565431058726907,-0.00130204205448051,5433.47302729715,4965.42160663264,-468.051420664517,-1548.84753334036,9.55258558212705
3300,3.3,compression,1,0.99175,0.00824999999999998,1.9835,0.99175,5162.59137887572,1.00831862868666,5434.86652940357,4210.80456210613,-1224.06196729744,-1464.38195873976,7.61912444407548,842.160912421227,380,-0.000499999999999945,-0.00499999999999945,-0.732190979369799,0.00380956222203732,1.041567111141,3.67037113465993,0.000233022967661828,0.0257041041280368,0.00316494961179844,0.549549533766385,0.000643644479037625,5434.84706552141,4918.31477265856,-516.532292862848,-1548.70967132923,9.43222701250355
3400,3.4,compression,1,0.9915,0.00849999999999995,1.983,0.9915,5163.89309127584,1.00857286938981,5436.20062486101,4543.24782717616,-892.952797684848,-1490.5943247917,9.46233580362115,908.649565435232,383,-0.000499999999999945,-0.00499999999999945,-0.745297162395769,0.00473116790181005,1.03877328872755,3.57639576300224,0.000240677215657904,0.0250648412006026,0.00276882718164682,0.611020670046124,-0.000494098659114194,5436.21730423271,4894.98644680767,-541.230857425038,-1549.698514847,8.7268668527034
3500,3.5,compression,1,0.99125,0.00875000000000004,1.9825,0.99125,5165.19546027743,1.00882723833544,5437.56711342813,3933.65036282026,-1503.91675060787,-1553.26311458339,4.02317324323586,786.730072564054,346,-0.000500000000000167,-0.00500000000000167,-0.776631557291954,0.0020115866216186,1.03703729401582,3.61232939791773,0.000399071581922009,0.0318054079729263,0.00195152298218466,0.592771249988372,0.00670793585541864,5437.58885058158,4909.36900022751,-528.219850354068,-1545.927926157,9.08464656230385
3600,3.6,compression,1,0.991,0.00900000000000001,1.982,0.991,5166.4984863774,1.00908173562059,5438.93250580994,5202.76648829885,-236.166017511091,-1478.64726834627,14.9193177423242,1040.55329765977,436,-0.000499999999999945,-0.00499999999999945,-0.739323634173052,0.00745965887116129,1.03926713129148,3.52736021107973,0.000202529137645216,0.02450943672088,0.00700103692001844,0.401150210095521,-0.00841391405317183,5438.95858469274,4942.28848195233,-496.670102740405,-1547.49502038965,8.78522475635207
3700,3.7,compression,1,0.99075,0.00924999999999998,1.9815,0.99075,5167.80217007318,1.00933636134242,5440.25564494656,4276.33319655707,-1163.92244838949,-1576.05996885541,6.6762881036085,855.266639311414,377,-0.000499999999999945,-0.00499999999999945,-0.788029984427618,0.00333814405180388,1.03654579708783,3.40714111353121,0.000238135900390583,0.0268128222134984,0.00550280167326654,0.40252308042268,-0.00104115850763445,5440.3299122423,4952.23511786526,-488.094794377037,-1545.20816070732,8.87246226137554
