phase,nSamples,actualLastStep,elapsedScript,meanRhoRatio,meanCompression,meanPkin,meanPwall,meanPexcessWallKinetic,meanPprojectionWorkRaw,meanStdN,meanLowKProxy,meanDivUAfter,meanMassFluxResidual,KeffWallFit,KeffKineticFit,KeffExcessFit,beta,lowKMaxIndex,cleanupStrength
compression,200,50000,2532.2233639,1.02599747795184,0.025125,5529.16887270884,5041.27109337248,-488.97380198013,-1546.51728844501,3.57074183549503,0.000317425347053178,0.0248682477657648,0.00390716281228744,6924.28225915193,5618.83199528833,1423.77459351754,0.002,2,0.5
hold_compressed,50,50000,2532.2233639,1.05263157894737,0.05,5673.15940008311,5178.30520452763,-494.854195555485,9.37111317313871,3.65863096950408,0.000346012647526984,0.0263798113797425,0.00284174494819383,NaN,NaN,NaN,0.002,2,0.5
decompression,200,50000,2532.2233639,1.0257343200571,0.024875,5528.73485840986,4941.73836314603,-586.996495263822,1545.74637869274,3.58912028043125,0.000330680805055268,0.02343707192065,0.00366334722691403,3511.7751954494,5513.8458527808,-2002.0706573314,0.002,2,0.5
hold_relaxed,50,50000,2532.2233639,1,0,5390.2169379639,4808.47604692596,-581.74089103794,1539.13027455058,3.60775324738753,0.000328465084694586,0.0237539061080996,0.00328473468046429,NaN,NaN,NaN,0.002,2,0.5
