method,nSteps,seed,actualLastStep,stoppedEarly,Nx,Ny,gamma,initialAmplitude,modeX,modeY,meanStdN,meanOutBand,meanLowK,timeAvgRelRms,meanDivUAfterParticles,meanMassFluxResidual,meanMassFluxAfterParticles,meanTGAmplitude,finalTGAmplitude,amplitudeRetention,meanTGModeEnergy,finalTGModeEnergy,modeEnergyRetention,meanTGCoherence,finalTGCoherence,meanEnstrophy,finalEnstrophy,meanHighKVelocityFraction,finalHighKVelocityFraction,meanKBTCell,finalKBTCell,ratio_meanStdN_vs_Q6,ratio_meanOutBand_vs_Q6,ratio_meanLowK_vs_Q6,ratio_timeAvgRelRms_vs_Q6,ratio_meanDivUAfterParticles_vs_Q6,ratio_meanTGAmplitude_vs_Q6,ratio_finalTGAmplitude_vs_Q6,ratio_amplitudeRetention_vs_Q6,ratio_meanTGModeEnergy_vs_Q6,ratio_finalTGModeEnergy_vs_Q6,ratio_modeEnergyRetention_vs_Q6,ratio_meanTGCoherence_vs_Q6,ratio_finalTGCoherence_vs_Q6,ratio_meanEnstrophy_vs_Q6,ratio_finalEnstrophy_vs_Q6,ratio_meanHighKVelocityFraction_vs_Q6,ratio_finalHighKVelocityFraction_vs_Q6,ratio_meanKBTCell_vs_Q6
Q6_projection,500,11,500,0,32,32,20,0.3,1,1,3.24773809616279,0.173223586309524,9.38326666084684e-06,0.101104600728192,1.19490552263859e-15,NaN,NaN,0.0936460896776617,0.0146490447158915,0.0488674730852803,0.0039120022111573,5.36486277720472e-05,0.00238802992574059,0.699146381401405,0.196414488299509,1.61870313575183,1.21564371771112,0.232910741158653,0.612313437325588,0.0182989971099866,0.010516704276858,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9_lowk_mass_flux,500,11,500,0,32,32,20,0.3,1,1,3.22594543370069,0.174339657738095,6.63110949024027e-06,0.0995952694010857,0.00320513420949287,9.34017497819562e-16,0.0422196933278776,0.0949925823604126,0.0148724494519559,0.0496127247476571,0.00395666907987578,5.5297438175246e-05,0.0024614224568868,0.714429202404365,0.20383406821898,1.6022806230308,1.18840757014814,0.219497012688022,0.599542252275484,0.0184296644667069,0.0105292365249351,0.993289895361992,1.00644295302013,0.706695197943123,0.985071586097614,2682332744111.27,1.01437852543962,1.01525046447718,1.01525046447718,1.01141790477293,1.03073350562114,1.03073350562114,1.02185925781712,1.03777511518477,0.989854524675767,0.977595287857643,0.942408287381242,0.97914273267318,1.00714068404596
