seed,nSteps,Nx,Ny,gamma,massFluxMode,massFluxStrength,beta,meanStdN,ratioStd_vs_Q6Projection,finalStdN,ratioFinalStd_vs_Q6Projection,meanOutBand,ratioOutBand_vs_Q6Projection,meanLowK,ratioLowK_vs_Q6Projection,timeAvgRelRms,ratioTimeAvgRelRms_vs_Q6Projection,meanRhoTransport,ratioRhoTransport_vs_Q6Projection,nuEff,ratioNuEff_vs_Q6Projection,R2,signalToNoise,centerMinusWall,meanMassFluxDivBefore,meanMassFluxDivTarget,meanMassFluxDivAfter,meanMassFluxResidual,massFluxResidualRelative,meanCellKBTAfter,lastRmsDivParticleGrid,elapsedRun,elapsedScript
11,10000,32,16,20,relax_to_uniform,1,0.002,3.05222615709748,0.867097386996627,3.5785838303608,1.03170247255704,0.140141553217822,0.699518584495467,3.97821401435923e-05,0.417993781322549,0.0239239627997131,0.607932376177498,0.00612486954011183,0.664114555436241,0.0193361575551921,0.774523679925333,0.903256595451451,3.16082900636576,0.107131212514904,45.5727912036877,6.12486945792906,6.12486954011183,0.000264427770122034,5.80231675826424e-06,NaN,NaN,180.6608002,180.807667
11,10000,32,16,20,relax_to_uniform,1,0.005,2.91164236680915,0.827159377511442,3.26758377370797,0.942041438297642,0.118483137376238,0.591410289389226,4.79571229143271e-05,0.503888907835408,0.0166646912785909,0.423466858399383,0.014527452144883,1.57519966092928,0.030868884811471,1.23647535406805,0.569334526040192,2.54985004270653,0.0946420878747178,47.5001725164763,14.5274521244929,14.527452144883,0.000914752029615977,1.92578675224533e-05,NaN,NaN,163.1394877,163.1597281
