strength,smooth,maxFrac,meanStd,ratioStd_vs_P,meanOutBand,ratioOutBand_vs_P,meanLowK,ratioLowK_vs_P,timeAvgRelRms,ratioTimeAvgRelRms_vs_P,meanRhoTransport,ratioRhoTransport_vs_P,nuEff,R2,signalToNoise,centerMinusWall,meanDxRepair,meanDivAfterRepair,restoreResidual,elapsed
0.001,1,0.01,3.26526865197152,0.92762121638008,0.168838954207921,0.842760617760618,0.00025339604244621,2.66245002700018,0.0359437828021785,0.913369015607353,0.00841895266885812,0.912859856780366,0.0215651132662031,0.831705889027713,1.63446333240667,0.0783297162168549,5.4279723857021e-06,1.05618696180468e-14,3.46913231766655e-18,199.0534059
0.002,1,0.005,3.13130371969085,0.889563486165618,0.151106126237624,0.754247104247104,0.000245096069853926,2.5752416316397,0.0302116008101185,0.767708291687867,0.00808458525932805,0.876604683769988,0.0789119983863533,0.862404528385029,1.8281471226408,0.0841652556482518,1.0040912535665e-05,1.0615365469345e-14,5.63728018596542e-18,211.3842069
0.002,2,0.01,3.18078212961507,0.90361967194707,0.156346689356436,0.780405405405405,0.00033311750684997,3.50008905642322,0.0306297973231612,0.778335101324197,0.00839452520649043,0.9102112078717,0.0238513693450764,0.771666783448779,2.39389641567404,0.1051891514454,6.38859898167253e-06,1.0275127341153e-14,3.35893684373055e-18,220.3374458
